"Country","Code","Year","GDP","Growth","CPI","Imports","Exports","Population"
"Central African Republic","CAF",1960,112155598.949571,NA,NA,34.1818122618189,23.2727244800003,1503508
"Central African Republic","CAF",1961,123134584.467673,4.95355379797229,NA,35.7615888118942,26.4900657865883,1529227
"Central African Republic","CAF",1962,124482748.937917,-3.71380018409685,NA,37.7049074334869,24.5901651330286,1556661
"Central African Republic","CAF",1963,129379097.888958,-0.707010752236329,NA,38.4858050224403,25.2365924230513,1585763
"Central African Republic","CAF",1964,142025069.461676,2.08032459940857,NA,40.8045902843848,28.4482693940755,1616516
"Central African Republic","CAF",1965,150574816.300764,0.947578712256856,NA,37.6693766937669,27.1002682926829,1648833
"Central African Republic","CAF",1966,157930041.875883,0.644783720237797,NA,42.5257731958763,28.3505154639175,1682885
"Central African Republic","CAF",1967,163820538.867947,4.6766131089008,NA,46.8982382133995,26.302729528536,1718603
"Central African Republic","CAF",1968,191767436.956884,1.40411317693092,NA,39.6312253595841,34.3122977455347,1755344
"Central African Republic","CAF",1969,188039191.323608,7.09154252763096,NA,37.5984582382905,27.3346641223215,1792220
"Central African Republic","CAF",1970,189106554.521277,2.33288087679347,NA,41.5623499086838,31.9384978942048,1828709
"Central African Republic","CAF",1971,201450768.367553,1.13020238405835,NA,37.4234623370213,29.7992329420796,1864598
"Central African Republic","CAF",1972,230317908.038643,-0.000867174831114426,NA,33.8130870580973,24.9348006859663,1900317
"Central African Republic","CAF",1973,271183061.359635,1.888939956294,NA,36.4868833574321,28.6180418550823,1936841
"Central African Republic","CAF",1974,281398668.160613,6.33903361228316,NA,43.3361131787586,27.7368238884878,1975521
"Central African Republic","CAF",1975,378660016.265936,0.404987104042064,NA,39.9199700572728,21.1303465778896,2017372
"Central African Republic","CAF",1976,451152449.984411,5.43251898691292,NA,29.3266108057826,22.1868662621573,2062405
"Central African Republic","CAF",1977,507298120.68315,3.80623491408234,NA,34.3249061268158,25.2043976967514,2110457
"Central African Republic","CAF",1978,610578523.761178,1.2092354194359,NA,33.885760267333,23.4203176328111,2162249
"Central African Republic","CAF",1979,700764892.704831,-2.46513778468636,NA,35.1329394686053,22.4325673617578,2218575
"Central African Republic","CAF",1980,797048028.773247,-4.47863884794948,36.7816091954023,41.0807828634967,25.2215452197355,2279821
"Central African Republic","CAF",1981,694803502.722356,-1.54446566470149,36.7693486590038,34.059743898938,24.3834499934688,2346797
"Central African Republic","CAF",1982,748312283.726758,7.71578363090393,41.6582375478926,34.2245066020111,22.1777521315576,2418844
"Central African Republic","CAF",1983,658679394.907969,-8.12651359274568,47.7455938697317,36.6162611098767,24.1489993098706,2493135
"Central African Republic","CAF",1984,637820620.670195,9.48172665292533,48.95938697318,35.5016773850403,23.3939942580609,2565803
"Central African Republic","CAF",1985,864849765.059664,3.92721953798056,54.062835249042,31.6359752409631,22.0085189617676,2634232
"Central African Republic","CAF",1986,1122265026.38274,3.57797925430461,55.2766283524903,28.6226318484383,18.1864262428373,2696982
"Central African Republic","CAF",1987,1200991825.95398,-4.93898788502545,51.4145593869731,28.5502933989394,17.8441411639543,2755244
"Central African Republic","CAF",1988,1264899368.20165,1.71016528472386,49.3762452107281,25.0538821705756,17.7447524605306,2812244
"Central African Republic","CAF",1989,1233930277.04922,1.97727043451945,49.7164750957856,26.4631612106678,20.3038863512806,2872668
"Central African Republic","CAF",1990,1440711395.67069,-2.14752806574087,49.7103448275862,25.8755146524582,17.0674688659163,2939780
"Central African Republic","CAF",1991,1377375030.52921,-0.552543005101867,48.337164750958,26.1226506625627,17.5866710245595,3014624
"Central African Republic","CAF",1992,1411917558.45855,-6.42407819946331,47.8375478927202,26.3633760833559,16.8656999970566,3095807
"Central African Republic","CAF",1993,1278781166.72188,0.335275684646064,46.4429118773948,22.8890674752764,17.0995545466345,3181222
"Central African Republic","CAF",1994,851174350.649409,4.89994941000114,57.8544061302683,25.0186213434453,23.3994108884074,3267670
"Central African Republic","CAF",1995,1115389731.79119,7.20004555751903,68.9563218390805,28.2549461602709,22.2209449568474,3352767
"Central African Republic","CAF",1996,1007791186.20106,-4.00009296364789,71.5249042145593,25.6140187532248,21.4703862760844,3435821
"Central African Republic","CAF",1997,937741468.029676,5.29993601826074,72.6773946360155,28.9342280996326,26.8842802618525,3517309
"Central African Republic","CAF",1998,967338348.658314,4.70014237879329,71.3072796934867,28.3926453039603,22.6568865727558,3597385
"Central African Republic","CAF",1999,999477510.686632,3.59997490432274,70.2988505747126,23.9886936193025,19.2236502785935,3676508
"Central African Republic","CAF",2000,914500299.097034,-2.48943244028874,72.5508045977011,25.2875684031294,20.3722135905975,3754986
"Central African Republic","CAF",2001,931833302.752857,4.46473902640867,75.3330268199234,22.5732458997066,17.1572538375263,3832203
"Central African Republic","CAF",2002,991387870.12463,3.61654219150596,77.0896551724138,20.1458598429982,15.96270493648,3907612
"Central African Republic","CAF",2003,1139754799.16304,-5.39748521855877,80.2770881226054,17.9952221645791,18.2360038377682,3981665
"Central African Republic","CAF",2004,1270080250.65268,5.99488422798696,78.6182375478927,19.2460374099972,13.997917508823,4055036
"Central African Republic","CAF",2005,1337362392.15225,0.908210514871953,80.8852107279694,21.7081835399254,13.3627533256972,4127910
"Central African Republic","CAF",2006,1460561215.4447,4.77108543044105,86.3006896551724,22.0798650802068,14.3160051485309,4201758
"Central African Republic","CAF",2007,1697565948.65323,4.60753485452025,87.1019157088123,23.4655715983662,14.1153274204234,4275800
"Central African Republic","CAF",2008,1985240986.18508,2.05413096200485,95.1785440613027,23.4338571075068,11.0036647020449,4345386
"Central African Republic","CAF",2009,1981732633.92013,1.70923921998059,98.5287356321839,23.2356028285423,10.6844171554918,4404230
"Central African Republic","CAF",2010,1986015906.25044,3.04663473280731,100,26.5097891580964,11.807253900865,4448525
"Central African Republic","CAF",2011,2195599556.73866,3.30071915650572,101.300569968547,22.027568726358,11.5148321137729,4476153
"Central African Republic","CAF",2012,2169706564.05899,4.11279786850471,107.147892720307,21.7820986662381,11.6491558137897,4490416
"Central African Republic","CAF",2013,1518565298.35641,-36.6999524381893,108.757088122605,25.0049351134049,14.4514889527506,4499653
"Central African Republic","CAF",2014,1702899386.14322,1.04001804711078,136.253936781609,37.5625159898757,13.0300890088237,4515392
"Central African Republic","CAF",2015,1583776805.96568,4.79988608115663,186.861666666667,34.5786994354794,12.6119227541944,4546100
"Central African Republic","CAF",2016,1755468136.86556,4.53128596327306,NA,30.0252921065853,12.729042974735,4594621
"Central African Republic","CAF",2017,1949411659.20453,4.29993805303965,NA,31.7747999104642,12.5180878120313,4659080
